id	email	ssid	bssid	level	frequency	latitude	longitude	timestamp
767	user1	eduroam	68:86:a7:53:1d:21	-66	2412	37.96771842694788	23.76956294938037	2015-03-27 19:14:36
786	user1	caldi-2.4	e8:94:f6:7d:50:9f	-88	2437	37.96851304558866	23.766640602770924	2015-03-27 19:22:18
787	user1	zephyros	d4:ca:6d:fb:fc:3f	-70	2452	37.968517359177824	23.766991345531395	2015-03-27 19:22:18
788	user1	PYRAVLOS	20:4e:7f:7e:b0:50	-78	2422	37.968619462279904	23.766826786397953	2015-03-27 19:22:19
789	user1	SCAN	00:1d:7e:bc:6f:73	-66	2462	37.96859904812165	23.766903378475423	2015-03-27 19:22:19
790	user1	uoa-webonly	68:86:a7:53:1d:22	-69	2412	37.968667501013506	23.76673467246748	2015-03-27 19:22:19
791	user1	DIT-WLAN	00:18:4d:7b:05:00	-80	2462	37.96855781937541	23.76665719019434	2015-03-27 19:22:19
792	user1	Office-I2-Ubuntu	20:e5:2a:6a:11:22	-88	2417	37.968618670138056	23.76666522691057	2015-03-27 19:22:19
793	user1	PersGroup	20:e5:2a:00:d8:9b	-12	2462	37.96847859345756	23.76688485749385	2015-03-27 19:22:20
794	user1	DIT-WLAN	00:1b:2f:ce:13:b0	-89	2437	37.96863889357752	23.76679449388328	2015-03-27 19:22:20
795	user1	BENSONHURST	c4:6e:1f:9f:ad:bc	-91	2422	37.96869117807747	23.766878663160558	2015-03-27 19:22:20
796	user1	DIT-WLAN	00:02:2d:61:2e:3f	-86	2437	37.96861534440161	23.766742172359404	2015-03-27 19:22:21
797	user1	linksys	00:18:39:a4:a3:d6	-91	2462	37.96851243454031	23.76669596916987	2015-03-27 19:22:21
798	user1	uoa	68:86:a7:53:1d:10	-81	2412	37.96865416527464	23.76669091565977	2015-03-27 19:22:21
799	user1	Portthru	ba:b0:22:79:d8:6e	-88	2412	37.968598745128	23.766786840881636	2015-03-27 19:22:22
800	user1	eduroam	68:86:a7:53:1d:21	-74	2412	37.9685751047895	23.766865336739407	2015-03-27 19:22:23
801	user1	uoa	68:86:a7:53:1d:20	-70	2412	37.968621269006285	23.766645372022847	2015-03-27 19:22:23
802	user1	uoa-webonly	68:86:a7:53:1d:12	-76	2412	37.96852028330869	23.766488412997425	2015-03-27 19:22:23
803	user1	eduroam	68:86:a7:53:1d:11	-82	2412	37.96844397718151	23.766628394892145	2015-03-27 19:22:24
804	user1	SCAN	00:1d:7e:60:bb:c7	-91	2462	37.96859855170025	23.76686062610272	2015-03-27 19:22:24
805	user1	caldi-2.4	e8:94:f6:7d:50:9f	-87	2437	37.96851304558866	23.766640602770924	2015-03-27 19:22:37
806	user1	zephyros	d4:ca:6d:fb:fc:3f	-66	2452	37.968517359177824	23.766991345531395	2015-03-27 19:22:39
807	user1	SCAN	00:1d:7e:bc:6f:73	-68	2462	37.96859904812165	23.766903378475423	2015-03-27 19:22:40
808	user1	DIT-WLAN	00:18:4d:7b:05:00	-78	2462	37.96855781937541	23.76665719019434	2015-03-27 19:22:40
809	user1	Office-I2-Ubuntu	20:e5:2a:6a:11:22	-84	2417	37.968618670138056	23.76666522691057	2015-03-27 19:22:41
810	user1	PersGroup	20:e5:2a:00:d8:9b	-60	2462	37.96847859345756	23.76688485749385	2015-03-27 19:22:41
811	user1	DIT-WLAN	00:1b:2f:ce:13:b0	-87	2437	37.96863889357752	23.76679449388328	2015-03-27 19:22:41
812	user1	DIT-WLAN	00:02:2d:61:2e:3f	-85	2437	37.96861534440161	23.766742172359404	2015-03-27 19:22:41
813	user1	Portthru	ba:b0:22:79:d8:6e	-82	2412	37.968598745128	23.766786840881636	2015-03-27 19:22:42
814	user1	uoa	68:86:a7:53:1d:20	-68	2412	37.968621269006285	23.766645372022847	2015-03-27 19:22:42
815	user1	uoa-webonly	68:86:a7:53:1d:12	-88	2412	37.96852028330869	23.766488412997425	2015-03-27 19:22:42
816	user1	eduroam	68:86:a7:53:1d:11	-77	2412	37.96844397718151	23.766628394892145	2015-03-27 19:22:43
817	user1	INSIGHTUoA	28:c6:8e:9c:ea:d6	-75	2462	37.9685692215618	23.766597299428344	2015-03-27 19:22:43
818	user1	DSG_WIFI	04:a1:51:86:77:c4	-93	2437	37.968412868459964	23.76689145429019	2015-03-27 19:22:44
819	user1	caldi-2.4	e8:94:f6:7d:50:9f	-86	2437	37.96851304558866	23.766640602770924	2015-03-27 19:22:50
820	user1	SCAN	00:1d:7e:bc:6f:73	-69	2462	37.96859904812165	23.766903378475423	2015-03-27 19:22:51
821	user1	PersGroup	20:e5:2a:00:d8:9b	-75	2462	37.96847859345756	23.76688485749385	2015-03-27 19:22:52
822	user1	Portthru	ba:b0:22:79:d8:6e	-87	2412	37.968598745128	23.766786840881636	2015-03-27 19:23:01
2864	user10	hol10	00:05:59:36:b6:24	-63	2457	37.93653486399878	23.644992913106123	2015-03-28 13:06:32
2865	user10	HOL	ba:8b:97:87:8f:11	-63	2412	37.93669866573998	23.644941468818004	2015-03-28 13:06:32
2866	user10	conn-x915dbc	8c:e0:81:91:5d:bc	-93	2462	37.93661800935485	23.645109202330865	2015-03-28 13:06:33
2867	user10	conn-x919834	8c:e0:81:91:98:34	-81	2467	37.93666808403287	23.644908571933662	2015-03-28 13:06:34
2868	user10	-Charalampos-	58:98:35:53:25:d4	-87	2437	37.93657552415564	23.64503049821403	2015-03-28 13:06:35
2869	user10	NetFasteR	00:05:59:27:16:a2	-75	2437	37.93665710010521	23.645171474864462	2015-03-28 13:06:35
2870	user10	NetFasteR	00:05:59:50:dd:32	-93	2437	37.9365706996939	23.64498880213854	2015-03-28 13:06:36
2871	user10	Tritos	00:1c:a2:ac:2a:a9	-93	2472	37.93654888455243	23.64513531622982	2015-03-28 13:06:36
2872	user10	OTE	54:22:f8:2e:d9:d5	-93	2442	37.93650686650908	23.645038676017013	2015-03-28 13:06:36
